intensity_in,intensity_out,luminance
4.078431372549019551e-01,6.651987674588192290e-01,6.117647058823529704e+01
4.117647058823529216e-01,6.680985181287092400e-01,6.176470588235294201e+01
4.156862745098038880e-01,6.709832439290940309e-01,6.235294117647058698e+01
4.196078431372549100e-01,6.738531633628062067e-01,6.294117647058823906e+01
4.235294117647058765e-01,6.767084897476691729e-01,6.352941176470588402e+01
4.274509803921568429e-01,6.795494313862919800e-01,6.411764705882353610e+01
4.313725490196078649e-01,6.823761917287999301e-01,6.470588235294117396e+01
4.352941176470588314e-01,6.851889695288568838e-01,6.529411764705882604e+01
4.392156862745097978e-01,6.879879589933149964e-01,6.588235294117647811e+01
4.431372549019607643e-01,6.907733499258041920e-01,6.647058823529411598e+01
4.470588235294117307e-01,6.935453278645596908e-01,6.705882352941176805e+01
4.509803921568627527e-01,6.963040742147670326e-01,6.764705882352942012e+01
4.549019607843137192e-01,6.990497663756880531e-01,6.823529411764705799e+01
4.588235294117646856e-01,7.017825778628166145e-01,6.882352941176471006e+01
4.627450980392157076e-01,7.045026784253000107e-01,6.941176470588236214e+01
4.666666666666666741e-01,7.072102341588466512e-01,7.000000000000000000e+01
4.705882352941176405e-01,7.099054076143315184e-01,7.058823529411765207e+01
4.745098039215686070e-01,7.125883579022959102e-01,7.117647058823528994e+01
4.784313725490195734e-01,7.152592407935307595e-01,7.176470588235294201e+01
4.823529411764705954e-01,7.179182088159212771e-01,7.235294117647059409e+01
4.862745098039215619e-01,7.205654113477188982e-01,7.294117647058823195e+01
4.901960784313725283e-01,7.232009947074029554e-01,7.352941176470588402e+01
4.941176470588235503e-01,7.258251022402810726e-01,7.411764705882353610e+01
4.980392156862745168e-01,7.284378744019716079e-01,7.470588235294117396e+01
5.019607843137254832e-01,7.310394488389058143e-01,7.529411764705882604e+01
5.058823529411764497e-01,7.336299604659752838e-01,7.588235294117647811e+01
5.098039215686274161e-01,7.362095415414509070e-01,7.647058823529411598e+01
5.137254901960783826e-01,7.387783217392863699e-01,7.705882352941176805e+01
5.176470588235293491e-01,7.413364282189186527e-01,7.764705882352942012e+01
5.215686274509804266e-01,7.438839856926697802e-01,7.823529411764705799e+01
5.254901960784313930e-01,7.464211164908488572e-01,7.882352941176471006e+01
5.294117647058823595e-01,7.489479406246516424e-01,7.941176470588236214e+01
5.333333333333333259e-01,7.514645758469449266e-01,8.000000000000000000e+01
5.372549019607842924e-01,7.539711377110243085e-01,8.058823529411765207e+01
5.411764705882352589e-01,7.564677396274259724e-01,8.117647058823528994e+01
5.450980392156862253e-01,7.589544929188706268e-01,8.176470588235294201e+01
5.490196078431373028e-01,7.614315068734148761e-01,8.235294117647059409e+01
5.529411764705882693e-01,7.638988887958790830e-01,8.294117647058823195e+01
5.568627450980392357e-01,7.663567440576216638e-01,8.352941176470588402e+01
5.607843137254902022e-01,7.688051761447219912e-01,8.411764705882353610e+01
5.647058823529411686e-01,7.712442867046358508e-01,8.470588235294117396e+01
5.686274509803921351e-01,7.736741755913794094e-01,8.529411764705882604e+01
5.725490196078431016e-01,7.760949409093007567e-01,8.588235294117647811e+01
5.764705882352940680e-01,7.785066790554904248e-01,8.647058823529411598e+01
5.803921568627450345e-01,7.809094847608830658e-01,8.705882352941176805e+01
5.843137254901961120e-01,7.833034511300990266e-01,8.764705882352942012e+01
5.882352941176470784e-01,7.856886696800730041e-01,8.823529411764705799e+01
5.921568627450980449e-01,7.880652303775137479e-01,8.882352941176471006e+01
5.960784313725490113e-01,7.904332216752383289e-01,8.941176470588236214e+01
5.999999999999999778e-01,7.927927305474222752e-01,9.000000000000000000e+01
6.039215686274509443e-01,7.951438425238032126e-01,9.058823529411765207e+01
6.078431372549019107e-01,7.974866417228775317e-01,9.117647058823530415e+01
6.117647058823529882e-01,7.998212108841254997e-01,9.176470588235294201e+01
6.156862745098039547e-01,8.021476313992975671e-01,9.235294117647059409e+01
6.196078431372549211e-01,8.044659833427982853e-01,9.294117647058823195e+01
6.235294117647058876e-01,8.067763455011967011e-01,9.352941176470588402e+01
6.274509803921568540e-01,8.090787954018936468e-01,9.411764705882353610e+01
6.313725490196078205e-01,8.113734093409781245e-01,9.470588235294117396e+01
6.352941176470587870e-01,8.136602624102964310e-01,9.529411764705882604e+01
6.392156862745097534e-01,8.159394285237639988e-01,9.588235294117647811e+01
6.431372549019607199e-01,8.182109804429450461e-01,9.647058823529411598e+01
6.470588235294117974e-01,8.204749898019236820e-01,9.705882352941176805e+01
6.509803921568627638e-01,8.227315271314911138e-01,9.764705882352942012e+01
6.549019607843137303e-01,8.249806618826722726e-01,9.823529411764705799e+01
6.588235294117646967e-01,8.272224624496119505e-01,9.882352941176471006e+01
6.627450980392156632e-01,8.294569961918440981e-01,9.941176470588236214e+01
6.666666666666666297e-01,8.316843294559617128e-01,1.000000000000000000e+02
6.705882352941175961e-01,8.339045275967092996e-01,1.005882352941176521e+02
6.745098039215686736e-01,8.361176549975154471e-01,1.011764705882353041e+02
6.784313725490196401e-01,8.383237750904823926e-01,1.017647058823529420e+02
6.823529411764706065e-01,8.405229503758532283e-01,1.023529411764705941e+02
6.862745098039215730e-01,8.427152424409695142e-01,1.029411764705882320e+02
6.901960784313725394e-01,8.449007119787382836e-01,1.035294117647058840e+02
6.941176470588235059e-01,8.470794188056225416e-01,1.041176470588235361e+02
6.980392156862744724e-01,8.492514218791704650e-01,1.047058823529411740e+02
7.019607843137254388e-01,8.514167793150972940e-01,1.052941176470588260e+02
7.058823529411764053e-01,8.535755484039351249e-01,1.058823529411764781e+02
7.098039215686274828e-01,8.557277856272614835e-01,1.064705882352941160e+02
7.137254901960784492e-01,8.578735466735221138e-01,1.070588235294117680e+02
7.176470588235294157e-01,8.600128864534585249e-01,1.076470588235294201e+02
7.215686274509803821e-01,8.621458591151536233e-01,1.082352941176470580e+02
7.254901960784313486e-01,8.642725180587046419e-01,1.088235294117647101e+02
7.294117647058823151e-01,8.663929159505383559e-01,1.094117647058823621e+02
7.333333333333332815e-01,8.685071047373748021e-01,1.100000000000000000e+02
7.372549019607843590e-01,8.706151356598537117e-01,1.105882352941176521e+02
7.411764705882353255e-01,8.727170592658305415e-01,1.111764705882353041e+02
7.450980392156862919e-01,8.748129254233544261e-01,1.117647058823529420e+02
7.490196078431372584e-01,8.769027833333357114e-01,1.123529411764705941e+02
7.529411764705882248e-01,8.789866815419117296e-01,1.129411764705882320e+02
7.568627450980391913e-01,8.810646679525212521e-01,1.135294117647058840e+02
7.607843137254901578e-01,8.831367898376941694e-01,1.141176470588235361e+02
7.647058823529411242e-01,8.852030938505662805e-01,1.147058823529411740e+02
7.686274509803920907e-01,8.872636260361246308e-01,1.152941176470588260e+02
7.725490196078431682e-01,8.893184318421939460e-01,1.158823529411764781e+02
7.764705882352941346e-01,8.913675561301687145e-01,1.164705882352941160e+02
7.803921568627451011e-01,8.934110431855000201e-01,1.170588235294117680e+02
7.843137254901960675e-01,8.954489367279424572e-01,1.176470588235294201e+02
7.882352941176470340e-01,8.974812799215695636e-01,1.182352941176470580e+02
7.921568627450980005e-01,8.995081153845615463e-01,1.188235294117647101e+02
7.960784313725489669e-01,9.015294851987742941e-01,1.194117647058823621e+02
8.000000000000000444e-01,9.035454309190944500e-01,1.200000000000000000e+02
8.039215686274510109e-01,9.055559935825845397e-01,1.205882352941176521e+02
8.078431372549019773e-01,9.075612137174285943e-01,1.211764705882353041e+02
8.117647058823529438e-01,9.095611313516777097e-01,1.217647058823529420e+02
8.156862745098039102e-01,9.115557860218054254e-01,1.223529411764705941e+02
8.196078431372548767e-01,9.135452167810763635e-01,1.229411764705882462e+02
8.235294117647058432e-01,9.155294622077320144e-01,1.235294117647058840e+02
8.274509803921568096e-01,9.175085604130013284e-01,1.241176470588235361e+02
8.313725490196077761e-01,9.194825490489368924e-01,1.247058823529411740e+02
8.352941176470588536e-01,9.214514653160851276e-01,1.252941176470588260e+02
8.392156862745098200e-01,9.234153459709918410e-01,1.258823529411764781e+02
8.431372549019607865e-01,9.253742273335489044e-01,1.264705882352941160e+02
8.470588235294117530e-01,9.273281452941861680e-01,1.270588235294117680e+02
8.509803921568627194e-01,9.292771353209118290e-01,1.276470588235294201e+02
8.549019607843136859e-01,9.312212324662053620e-01,1.282352941176470722e+02
8.588235294117646523e-01,9.331604713737673418e-01,1.288235294117647243e+02
8.627450980392157298e-01,9.350948862851288235e-01,1.294117647058823479e+02
8.666666666666666963e-01,9.370245110461251636e-01,1.300000000000000000e+02
8.705882352941176627e-01,9.389493791132358380e-01,1.305882352941176521e+02
8.745098039215686292e-01,9.408695235597952511e-01,1.311764705882353041e+02
8.784313725490195957e-01,9.427849770820773134e-01,1.317647058823529562e+02
8.823529411764705621e-01,9.446957720052554519e-01,1.323529411764705799e+02
8.862745098039215286e-01,9.466019402892443813e-01,1.329411764705882320e+02
8.901960784313724950e-01,9.485035135344223045e-01,1.335294117647058840e+02
8.941176470588234615e-01,9.504005229872404259e-01,1.341176470588235361e+02
8.980392156862745390e-01,9.522929995457199981e-01,1.347058823529411882e+02
9.019607843137255054e-01,9.541809737648401235e-01,1.352941176470588402e+02
9.058823529411764719e-01,9.560644758618199734e-01,1.358823529411764639e+02
9.098039215686274384e-01,9.579435357212965352e-01,1.364705882352941160e+02
9.137254901960784048e-01,9.598181829004011067e-01,1.370588235294117680e+02
9.176470588235293713e-01,9.616884466337375370e-01,1.376470588235294201e+02
9.215686274509803377e-01,9.635543558382628770e-01,1.382352941176470722e+02
9.254901960784314152e-01,9.654159391180744398e-01,1.388235294117647243e+02
9.294117647058823817e-01,9.672732247691043783e-01,1.394117647058823479e+02
9.333333333333333481e-01,9.691262407837247794e-01,1.400000000000000000e+02
9.372549019607843146e-01,9.709750148552644955e-01,1.405882352941176521e+02
9.411764705882352811e-01,9.728195743824400443e-01,1.411764705882353041e+02
9.450980392156862475e-01,9.746599464737033536e-01,1.417647058823529562e+02
9.490196078431372140e-01,9.764961579515071266e-01,1.423529411764705799e+02
9.529411764705881804e-01,9.783282353564896061e-01,1.429411764705882320e+02
9.568627450980391469e-01,9.801562049515829544e-01,1.435294117647058840e+02
9.607843137254902244e-01,9.819800927260429191e-01,1.441176470588235361e+02
9.647058823529411908e-01,9.837999243994051124e-01,1.447058823529411882e+02
9.686274509803921573e-01,9.856157254253687938e-01,1.452941176470588402e+02
9.725490196078431238e-01,9.874275209956075994e-01,1.458823529411764639e+02
9.764705882352940902e-01,9.892353360435118814e-01,1.464705882352941160e+02
9.803921568627450567e-01,9.910391952478625477e-01,1.470588235294117680e+02
9.843137254901960231e-01,9.928391230364375097e-01,1.476470588235294201e+02
9.882352941176471006e-01,9.946351435895535165e-01,1.482352941176470722e+02
9.921568627450980671e-01,9.964272808435442608e-01,1.488235294117647243e+02
9.960784313725490335e-01,9.982155584941756477e-01,1.494117647058823479e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+02
